# SoFiA source catalogue
# Creator: SoFiA 2.2.0
# Time:    Thu, 11 Feb 2021, 16:15:07
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec          freq
#                                                     pix           pix           pix           pix           pix           pix           pix           pix           pix                     Jy/beam       Jy/beam       Jy/beam                                   Jy/beam           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg            Hz

    SoFiA J115934.50-294943.7             1    439.500842    541.038150   6588.679919           438           442           538           544          6582          6596           262  -8.36623e-05   1.21233e-04      0.003840      0.000000             0   2.90430e-05     13.220293      3.127574      2.674945      1.864496    -11.375126      1.891520      1.114826    -49.624325    137.705654      0.145353      0.185860      0.442229   4.70103e-04    179.893757    -29.828816   1.14766e+09
    SoFiA J120048.53-294527.3             2     95.301615    632.477332   6578.939471            93            99           630           634          6571          6584           199  -5.49842e-05   1.12913e-04      0.003749      0.000000             0   3.13662e-05     11.162342      6.045653      2.143541      1.882996    -50.213717      1.076792      1.000000    -83.481521     33.470330      0.168386      0.121026      0.412552   4.42475e-04    180.202208    -29.757584   1.14737e+09
    SoFiA J115857.66-294731.7             3    610.844138    587.912500   6557.316732           608           614           584           592          6538          6581           754  -7.76159e-05   1.04757e-04      0.010458      0.000000             0   3.09949e-05     41.442312     38.680092      3.172887      2.256471     21.624371      2.110486      1.533660     44.250541    351.203708      0.113382      0.140312      1.078301   8.51092e-04    179.740232    -29.792145   1.14672e+09
    SoFiA J120007.75-300047.9             4    285.042531    303.875328   6521.029562           279           292           298           309          6498          6542          2888  -1.01315e-04   1.99310e-04      0.039503      0.000000             0   3.01125e-05     37.391862     34.395400      4.649887      2.877736    -64.099869      3.607594      2.530152    -56.692649    300.457818      0.109538      0.101841      0.455478      0.001618    180.032298    -30.013315   1.14563e+09
    SoFiA J120015.77-295723.7             5    247.787957    376.783207   6522.070502           245           251           373           380          6511          6535           618  -7.46783e-05   1.03204e-04      0.007287      0.000000             0   2.85571e-05     20.700294     16.973663      3.225801      1.801483    -15.288349      2.488348      1.019726      1.572313          -nan      0.143243      0.166616      0.605980   7.09918e-04    180.065723    -29.956597   1.14566e+09
    SoFiA J115855.55-295905.1             6    620.071834    340.252078   6502.758964           616           625           334           346          6475          6535          3048  -8.59436e-05   1.37059e-04      0.036062      0.000000             0   3.00027e-05     55.236860     48.254919      4.076507      3.022379    -33.620296      3.072322      2.321285    -44.760391    148.192679      0.099359      0.108509      0.756284      0.001656    179.731444    -29.984754   1.14508e+09
    SoFiA J120033.69-300511.2             7    164.812637    209.774110   6478.729358           160           169           205           216          6464          6497          1733  -1.20493e-04   1.09246e-04      0.017582      0.000000             0   3.06098e-05     30.482506     26.546837      4.240038      3.378231     18.532938      2.893818      2.203646     76.224311     12.642058      0.158099      0.173722      0.592459      0.001274    180.140395    -30.086435   1.14436e+09
    SoFiA J120010.54-301207.6             8    272.180692     61.142049   6403.848723           268           277            56            65          6388          6420          1302  -9.17831e-05   1.14357e-04      0.013828      0.000000             0   3.05850e-05     28.675544     22.937945      3.623709      2.783827     25.334857      2.902444      1.385794     35.134890    138.136606      0.150099      0.169967      0.643793      0.001104    180.043934    -30.202105   1.14212e+09
    SoFiA J115942.89-301103.3             9    400.221510     84.076143   6268.394816           393           406            79            89          6247          6286          2633  -1.11409e-04   1.32440e-04      0.028789      0.000000             0   2.96354e-05     32.624825     27.354811      5.057700      3.279141    -78.493066      4.248170      2.940935    -65.582903    285.026907      0.151001      0.118826      0.520287      0.001521    179.928718    -30.184255   1.13805e+09
    SoFiA J115938.48-301040.9            10    420.644641     92.063795   6253.267413           415           425            88            96          6223          6282          1904  -1.08994e-04   1.40321e-04      0.024731      0.000000             0   2.94831e-05     58.245692     52.841133      3.988428      2.304181     72.724283      3.783204      1.878576     67.666086    337.628809      0.111934      0.089783      0.944634      0.001286    179.910348    -30.178031   1.13760e+09
