# SoFiA source catalogue
# Creator: SoFiA 2.3.0
# Time:    Wed, 03 Mar 2021, 16:10:38
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec          freq
#                                                     pix           pix           pix           pix           pix           pix           pix           pix           pix                     Jy/beam       Jy/beam       Jy/beam                                   Jy/beam           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg            Hz

    SoFiA J115852.99-295756.9             1    631.973252    364.584997   2283.076250           630           635           362           366          2279          2286           104  -5.00492e-05   9.22916e-05      0.001627      0.000000             0   2.74959e-05      5.628931      4.759500      2.619139      1.423856    -46.544402      3.041918      0.930336    -22.653897     -1.000000      0.131361      0.138658      0.212608   2.80405e-04    179.720810    -29.965806   1.01849e+09
    SoFiA J120047.17-301421.4             2    102.684901     13.167026   2177.174917           100           104            11            15          2170          2184           156  -5.60819e-05   9.17970e-05      0.002803      0.000000             0   3.11898e-05     13.790474     13.426184      2.338340      1.409349     44.043078      2.331788      1.000000     50.705260     -1.000000      0.095212      0.093435      0.366082   3.89560e-04    180.196545    -30.239281   1.01532e+09
    SoFiA J115943.11-295043.7             3    399.466140    519.642887   2154.390879           397           402           517           522          2148          2161           217  -5.30370e-05   8.38917e-05      0.002543      0.000000             0   2.45240e-05     12.553493      4.442948      2.162010      1.906405     66.004086      1.004626      0.710938    -84.465324    296.564696      0.094332      0.079844      0.270914   3.61261e-04    179.929639    -29.845481   1.01463e+09
    SoFiA J120033.51-301048.4             4    165.825238     89.347454   2146.911662           163           169            85            93          2137          2158           582  -7.16633e-05   1.12404e-04      0.006491      0.000000             0   2.67962e-05     19.030951     12.196707      2.987922      2.304447     27.554079      2.138232      1.974921     18.340607    274.174038      0.072592      0.084841      0.240666   6.46450e-04    180.139617    -30.180101   1.01441e+09
    SoFiA J115948.70-300830.2             5    373.331540    138.769123   2100.619504           369           378           134           143          2087          2116          1205  -7.78701e-05   1.21615e-04      0.011513      0.000000             0   2.81463e-05     26.650162     16.639991      4.050494      3.129734    -64.172676      3.185715      2.039669    -44.676350    313.445542      0.082105      0.074740      0.256050   9.77046e-04    179.952934    -30.141727   1.01302e+09
    SoFiA J115958.92-295134.4             6    326.031281    501.563752   2089.661192           322           330           497           506          2077          2102          1210  -8.93049e-05   1.37865e-04      0.014785      0.000000             0   2.76719e-05     20.148331     16.741541      3.754584      2.701460     26.079164      2.485094      1.549675     -1.451362    144.111624      0.064610      0.073981      0.187386   9.62567e-04    179.995488    -29.859561   1.01269e+09
    SoFiA J115955.71-295932.3             7    340.896319    330.877724   2082.089248           336           346           326           336          2065          2098          1685  -8.20934e-05   1.05870e-04      0.018206      0.000000             0   2.69624e-05     30.902608     24.227611      4.111456      3.649977    -42.506111      3.056165      2.200272     -2.417310    186.935552      0.063066      0.068059      0.235578      0.001107    179.982132    -29.992316   1.01246e+09
    SoFiA J115858.05-300355.2             8    608.222280    236.672945   2080.097170           606           611           234           239          2069          2090           307  -7.38588e-05   7.56561e-05      0.003789      0.000000             0   3.01410e-05     18.336441     17.347259      2.348286      2.257731    -19.297821      2.505658      1.193647     32.997366     -1.000000      0.084352      0.091463      0.383525   5.28113e-04    179.741875    -30.065336   1.01240e+09
    SoFiA J115936.98-295516.3             9    427.879548    422.279819   2077.613241           426           430           420           425          2068          2083           180  -5.57351e-05   9.37827e-05      0.003677      0.000000             0   3.05078e-05     15.000000      8.418904      2.621266      1.603931    -30.655127      2.010083      1.181684    -15.117943     -1.000000      0.085920      0.095822      0.288595   4.09305e-04    179.904087    -29.921192   1.01233e+09
    SoFiA J115936.75-294553.2            10    429.108276    623.372668   2062.835680           427           431           621           626          2055          2073           240  -4.47499e-05   1.03133e-04      0.003066      0.000000             0   2.78129e-05     11.447730      8.340197      2.293335      1.994749    -41.971356      2.151822      1.020567     -6.774375     -1.000000      0.099005      0.092240      0.306526   4.30875e-04    179.903137    -29.764785   1.01189e+09
