# SoFiA source catalogue
# Creator: SoFiA 2.3.0
# Time:    Thu, 25 Feb 2021, 12:46:38
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec          freq
#                                                     pix           pix           pix           pix           pix           pix           pix           pix           pix                     Jy/beam       Jy/beam       Jy/beam                                   Jy/beam           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg            Hz

    SoFiA J115934.46-294944.0             1    439.703695    540.947480   6589.052401           438           442           538           544          6582          6596           262  -8.36623e-05   1.21233e-04      0.003840      0.000000             0   2.90430e-05     13.220293      3.127574      2.676887      1.865916    -11.012288      1.796251      1.309087    -37.608036    137.705654      0.078100      0.106230      0.251733   4.70103e-04    179.893575    -29.828887   1.14767e+09
    SoFiA J120048.52-294527.4             2     95.334075    632.426768   6578.715104            93            99           630           634          6571          6584           199  -5.49842e-05   1.12913e-04      0.003749      0.000000             0   3.13662e-05     11.162342      6.045653      2.143589      1.883351    -50.164163      1.063755      1.000000    -66.185392     33.470330      0.089732      0.073585      0.248530   4.42475e-04    180.202179    -29.757624   1.14736e+09
    SoFiA J115857.65-294731.6             3    610.867189    587.939454   6557.189561           608           614           584           592          6538          6581           754  -7.76159e-05   1.04757e-04      0.010458      0.000000             0   3.09949e-05     41.455300     38.704862      3.173715      2.256586     21.565597      2.110812      1.548242     43.989702    351.203708      0.061335      0.073995      0.612383   8.51092e-04    179.740212    -29.792124   1.14672e+09
    SoFiA J120007.75-300047.9             4    285.058821    303.870679   6520.938667           279           292           298           309          6498          6542          2888  -1.01315e-04   1.99310e-04      0.039503      0.000000             0   3.01125e-05     37.391862     34.395400      4.649576      2.877694    -64.093726      3.609528      2.532629    -56.809572    300.457818      0.051458      0.045942      0.221464      0.001618    180.032283    -30.013319   1.14563e+09
    SoFiA J120015.77-295724.0             5    247.808166    376.701583   6522.797723           245           251           373           380          6511          6535           618  -7.46783e-05   1.03204e-04      0.007287      0.000000             0   2.85571e-05     20.700294     16.973663      3.222220      1.808000    -15.170614      2.522943      1.030858      2.365143          -nan      0.062796      0.078677      0.281984   7.09918e-04    180.065705    -29.956660   1.14568e+09
    SoFiA J115855.51-295905.2             6    620.230093    340.214606   6502.868327           616           625           334           346          6475          6535          3048  -8.59436e-05   1.37059e-04      0.036062      0.000000             0   3.00027e-05     57.455212     53.857539      4.077411      3.023284    -33.704217      3.066799      2.337987    -44.703054    148.192679      0.044812      0.048721      0.357376      0.001656    179.731302    -29.984782   1.14509e+09
    SoFiA J120033.81-300511.2             7    164.287678    209.774248   6479.523748           160           169           205           216          6464          6497          1733  -1.20493e-04   1.09246e-04      0.017582      0.000000             0   3.06098e-05     30.554391     26.834801      4.225644      3.364503     16.728772      2.621037      2.147074     63.635914     12.642058      0.059899      0.069988      0.251312      0.001274    180.140866    -30.086434   1.14439e+09
    SoFiA J120010.50-301207.9             8    272.397340     61.018042   6404.045954           268           277            56            65          6388          6420          1302  -9.17831e-05   1.14357e-04      0.013828      0.000000             0   3.05850e-05     28.697255     24.387114      3.627857      2.788731     25.655673      2.800744      1.374778     33.551921    138.136606      0.064300      0.075596      0.299363      0.001104    180.043739    -30.202201   1.14212e+09
    SoFiA J115942.89-301103.4             9    400.252223     84.064560   6267.638017           393           406            79            89          6247          6286          2633  -1.11409e-04   1.32440e-04      0.028789      0.000000             0   2.96354e-05     32.722380     27.524165      5.057356      3.279243    -78.490907      4.237956      2.937492    -65.254075    285.026907      0.067848      0.051872      0.235624      0.001521    179.928691    -30.184264   1.13803e+09
    SoFiA J115938.52-301041.1            10    420.486703     91.992664   6252.994419           415           425            88            96          6223          6282          1904  -1.08994e-04   1.40321e-04      0.024731      0.000000             0   2.94831e-05     58.293307     53.127399      3.991539      2.311616     72.888669      3.783985      1.912016     68.005051    337.628809      0.057578      0.043666      0.492609      0.001286    179.910490    -30.178087   1.13759e+09
